id,name_ru,name_en,skill,how,fixes,level,load,solo_ok_default,popularity,coaches,sources
SOVT-05,"Пение в трубочку: сирены, гаммы, песня","Straw phonation (straw sirens, straw songs)",WARMUP,"Узкая трубочка во рту, губы плотно её обхватывают. Мычание, сирены, глиссандо «вопрос-ответ», гамма, мелодия песни. Тихо, несколько минут (Titze).","Зажим, усталость, «давленый» звук, восстановление после нагрузки",новичок,1,да,4,"Ingo Titze (NCVS, учёный), Dr Dan Robinson, Felicia Ricci, Madeleine Harvey","сырые №33, 171. Dr Dan подтверждено: https://www.djarts.com.au/singing-tips/vocal-nodules/ ; Titze, Ricci, Harvey — по памяти модели: https://pubmed.ncbi.nlm.nih.gov/?term=Titze+voice+training+semi-occluded+vocal+tract+rationale (не проверено). Соответствует SOVT-02 и FR-01 стартового набора."
SOVT-06,"Губная трель, переходящая в гласную («Брю-У / Брю-И / Брю-А», «uh» с трелью)",Brew U / Brew I / Brew A; 'Uh' with lip bubble,WARMUP,"Губная трель «brrr» переходит в гласную U, I или A (Porter). Вариант Riggs: «uh» поётся с максимально свободной и ровной трелью губ на всём упражнении.","Лёгкость SOVT переносится в открытый звук, ровный выдох",новичок,1,да,2,"Cheryl Porter, Seth Riggs","сырые №22, 125. https://course.cherylportermethod.com/courses/823327/lectures/14965930 (оглавление курса; механику угадали по названию); https://www.scribd.com/document/19564699/Seth-Riggs-Vocal-Instruction-Vowel (вторичный источник)"
SOVT-07,"Трубочка в воду (бульканье), LaxVox, резонансная трубка",Straw in water / cup bubble / LaxVox / resonance tube,WARMUP,"Трубка опущена в стакан с водой на 2–5 см. Фонация с пузырями: сирены, мелодия.","Зажим, неэкономная фонация, усталость; пульсация даёт «массаж»",новичок,1,да,2,"Dr Dan Robinson, финская школа (Sovijärvi, Laukkanen), Marketta Sihvo (LaxVox)","сырые №33 (вариант в воду), 172. https://www.djarts.com.au/singing-tips/vocal-nodules/ (подтверждено); https://pubmed.ncbi.nlm.nih.gov/?term=water+resistance+therapy+tube+phonation (по памяти модели)"
SOVT-08,Приглушённая язычковая трель,Muffled Tongue Trill,WARMUP,"Язычковая трель с приглушённым, прикрытым звуком. Подробностей нет, найден только заголовок урока.",не подтверждено,средний,1,после показа педагогом,1,Brett Manning,сырой №112. https://singingsuccess.teachable.com/courses/brett-manning-s-vocal-hacks/lectures/16927029 СОМНИТЕЛЬНО: только название урока
WU-01,«А» на пятинотной гамме 1-2-3-2-1,AH on 1-2-3-2-1,WARMUP,Гласная AH на 1-2-3-2-1 по полутонам вверх и вниз в удобном диапазоне.,Базовый разогрев перед пением,новичок,1,да,1,Felicia Ricci,сырой №67. https://blog.stageagent.com/how-to-warm-up-before-singing/ СОМНИТЕЛЬНО: атрибуция в статье нечёткая
WU-02,"Трёхфазный разогрев: дома, перед саундчеком, на саундчеке",3-Phase Singing Warm-up,WARMUP,"Фаза 1, дома: прислушаться к голосу и оценить его состояние. Фаза 2: мычание и постепенное расширение. Фаза 3: разогрев на песнях.","Нет структуры разогрева, голос выкладывается «с холода»",новичок,1,да,1,Dr Dan Robinson,"сырой №29. https://www.djarts.com.au/singing-tips/singing-warm-up/ (подтверждено). Это схема занятия, а не отдельное упражнение."
WU-03,Как распеться: 3 лучших упражнения,How to warm up your voice (BEST 3 Exercises),WARMUP,"Какие три упражнения показаны, не найдено.",Базовый разогрев,новичок,1,после показа педагогом,1,Madeleine Harvey,сырой №107. https://www.youtube.com/watch?v=L-8VjsyATPs (по названию видео)
WU-04,"Тихие упражнения, чтобы не мешать соседям",Quiet practice exercises (7 highly effective vocal exercises),WARMUP,Бесплатный мини-курс из 7 упражнений для тихой домашней практики. Состав не найден.,Дома можно заниматься тихо,новичок,1,после показа педагогом,1,Chris Liepe,"сырой №61. https://www.mymusicalvoice.com/p/7-highly-effective-vocal-exercises (по названию). Полезно для формата домашки, стоит изучить."
WU-05,VFE 1 Стемпла: долгое «и» на F4 (жен.) или F3 (муж.),Vocal Function Exercises 1 — warm-up sustained /i/,WARMUP,"Тянуть «и» тихо и максимально долго, с позицией «вперёд». По 2 раза, 2 раза в день.","Слабый и нескоординированный голосовой аппарат, выносливость",новичок,2,после показа педагогом,1,Joseph Stemple (клинический протокол),сырой №187. https://pubmed.ncbi.nlm.nih.gov/?term=Stemple+efficacy+of+vocal+function+exercises (по памяти модели). «Максимально долго» у нас ограничено 20 с на ноту.
WU-06,Профессиональная распевка 1: раскрытие голоса,Professional Vocal Warmup 1 – Opening Up The Voice,WARMUP,Распевка около 14 минут в формате «пой вместе». Состав не найден.,"Ежедневный разогрев. По отзывам, через месяц легче ноты вне комфорта и лучше контроль runs",новичок,2,после показа педагогом,1,Eric Arceneaux,сырой №91. https://www.youtube.com/watch?v=Q5hS7eukUbQ (по названию видео)
WU-07,10-минутная распевка для белтинга,10 Minute Warm Up for Belting,WARMUP,Распевка «пой вместе» перед белтингом (2020). Состав не найден.,Подготовка к силовому пению,средний,2,после показа педагогом,1,Madeleine Harvey,сырой №105. https://www.youtube.com/watch?v=MhJl5lq3zBY (по названию видео; авторство подтверждено только выдачей поиска)
CD-01,Зевок-вздох,Yawn-sigh / sighing on vowels,COOLDOWN,"Начало зевка (мягкое нёбо вверх, гортань свободно вниз), затем мягкий вздох-глиссандо сверху вниз на «ha», «oo» или другой гласной.","Высокая гортань, зажим, напряжение после нагрузки",новичок,1,да,2,"Cheryl Porter, Matt Ramsey (+ традиционная педагогика и логопедия, Boone)","сырые №26, 174. https://braghq.com/cheryl-porter-vocal-exercises/ (вторичный источник); Ramsey — по памяти модели: https://www.youtube.com/@RamseyVoiceStudio (не проверено). Соответствует SOVT-04 стартового набора."
CD-02,Вздох-глиссандо вниз и расслабленное нисходящее «Уи»,Descending sigh / slide-down cool-down / Relaxed Descending 'Wee',COOLDOWN,"Лёгкие слайды сверху вниз на «wee», трели, «ng» или «oo», тихо, 1–2 минуты. Можно в трубочку.","Усталость после пения, возврат к речевому регистру, головное звучание уходит вниз",новичок,1,да,2,"Brett Manning, Ingo Titze (SOVT-литература)","сырые №121, 196. https://singingsuccess.com/mastering-mix-is-a-manning-masterpiece/ (вторичный источник); https://pubmed.ncbi.nlm.nih.gov/?term=vocal+cool-down+singers (по памяти модели). Соответствует CD-01 стартового набора."
CD-03,«Заминка Уолтера»,Walter's Warmdowns,COOLDOWN,"Мягко и без напряжения: округлённые гласные, головной голос и фальцет. Финальный блок 10-минутного воркаута (8:31).","Восстановление после нагрузки, регистры, переход",новичок,1,да,1,Cheryl Porter,сырой №5. https://sonichits.com/video/Cheryl_Porter_Vocal_Coach/10_Minute_Daily_VOCAL_WORKOUT!_Vocal_Exercise_(subtitles) (подтверждено по таймкодам)
CD-04,Вокальная заминка: сирены и гаммы,Vocal cool-down,COOLDOWN,Обязательная заминка после нагрузки: в курсе есть сирены и гаммы. Точный набор не найден.,Голос быстрее восстанавливается к следующей нагрузке,новичок,1,да,1,Dr Dan Robinson,сырой №46. https://www.djarts.com.au/singing-tips/vocal-cool-downs/ (вторичный источник)
CD-05,Три упражнения на восстановление голоса,3 Vocal Recovery Exercises,COOLDOWN,"Три восстановительных упражнения, которые годятся и для разогрева (видео 02.10.2020). Состав не найден.",Восстановление после нагрузки,новичок,1,после показа педагогом,1,Chris Liepe,сырой №60. https://www.youtube.com/watch?v=05d57rPxCog (по названию видео)
